PLAYER_NAME,TEAM_ABBREVIATION,games_played,mpg,ppg,true_shooting_pct,effective_fg_pct,ast_to_tov_ratio,three_point_rate,avg_plus_minus
Jamal Cain,NOP,37,13.6,5.3,53.9,50.0,1.0,51.2,-3.6
Brandon Miller,CHA,27,34.2,21.0,53.9,50.8,1.29,59.9,-4.6
Keyonte George,UTA,67,31.5,16.8,53.9,48.9,2.07,55.5,-7.6
Gabe Vincent,LAL,72,21.2,6.4,53.9,52.6,2.33,74.1,0.7
Simone Fontecchio,DET,75,16.5,5.9,53.8,50.0,1.29,60.0,0.2
Jalen Suggs,ORL,35,28.6,16.2,53.8,48.9,1.28,50.4,0.1
Tre Mann,CHA,13,24.5,14.1,53.8,50.8,1.58,37.1,-4.2
Kyle Anderson,MIA,61,16.4,5.9,53.8,50.0,4.0,22.0,-0.4
LaMelo Ball,CHA,47,32.0,25.2,53.7,49.3,2.06,52.6,-2.8
Brandon Boston Jr.,NOP,42,23.6,10.7,53.6,50.5,1.83,36.3,-3.3
Ben Simmons,LAC,51,22.0,5.0,53.6,52.3,2.8,0.0,-1.1
Jonathan Kuminga,GSW,47,24.3,15.3,53.5,49.6,1.47,26.4,0.2
Dennis Schröder,DET,75,28.1,13.1,53.4,48.6,2.84,44.5,-1.0
Cory Joseph,ORL,50,12.2,3.5,53.4,51.6,3.5,67.7,0.7
Russell Westbrook,DEN,75,27.9,13.3,53.4,50.9,1.91,35.1,-0.3
Jarred Vanderbilt,LAL,36,16.1,4.1,53.4,51.5,1.38,26.5,1.0
Draymond Green,GSW,68,29.2,9.0,53.1,50.7,2.15,48.0,4.0
Cole Anthony,MEM,67,18.4,9.4,53.1,48.8,1.93,40.7,-0.2
Kris Dunn,LAC,74,24.1,6.4,53.1,52.5,2.8,50.8,3.5
Miles McBride,NYK,64,24.9,9.5,53.1,51.8,4.83,57.6,3.3
Precious Achiuwa,NYK,57,20.5,6.6,53.0,52.6,1.25,10.5,-0.8
Kevin Porter Jr.,MIL,75,19.8,10.3,53.0,48.9,1.89,27.6,0.4
Svi Mykhailiuk,UTA,38,20.0,8.8,53.0,50.6,1.43,67.1,-2.8
Kyle Lowry,PHI,35,18.8,3.9,52.8,48.5,4.5,75.8,-2.0
Andre Drummond,PHI,40,18.8,7.3,52.8,50.0,0.64,8.5,-6.1
Marcus Smart,WAS,34,20.0,9.0,52.8,48.7,2.0,53.9,1.2
Tyrese Martin,BKN,60,21.9,8.7,52.8,51.9,1.67,60.3,-4.3
Colin Castleton,TOR,26,16.6,4.7,52.7,48.7,1.22,15.8,-1.2
Kevon Looney,GSW,76,15.0,4.5,52.7,51.4,3.2,2.7,1.5
Cameron Payne,NYK,72,15.1,6.9,52.7,50.8,4.0,58.1,2.8
Tosan Evbuomwan,BKN,28,23.7,9.5,52.5,48.7,1.43,35.4,-2.4
Scottie Barnes,TOR,65,32.8,19.3,52.4,48.2,2.07,26.2,-2.0
Lonzo Ball,CHI,35,22.2,7.6,52.4,50.0,2.75,81.2,2.9
Jerami Grant,POR,47,32.4,14.4,52.4,47.1,1.5,51.6,-4.3
Stephon Castle,SAS,81,26.7,14.7,52.3,47.5,1.86,33.6,-3.0
Tristan da Silva,ORL,74,22.0,7.2,52.2,50.0,1.88,49.2,-1.7
Anthony Black,ORL,78,24.2,9.4,52.2,48.1,1.72,31.6,-0.5
Jose Alvarado,NOP,56,24.4,10.3,52.2,49.5,3.07,59.1,-4.1
Orlando Robinson,TOR,44,17.5,6.9,52.2,47.5,1.64,20.3,-2.0
Ryan Dunn,PHX,74,19.1,6.9,52.1,52.3,1.6,56.3,-2.3
D'Angelo Russell,BKN,58,25.5,12.6,52.1,47.7,2.68,56.4,0.0
Mouhamed Gueye,ATL,33,16.1,6.0,52.0,48.1,1.6,48.1,2.6
DaQuan Jeffries,CHA,47,22.8,6.7,51.8,50.0,1.57,56.5,-5.9
Ja'Kobe Walter,TOR,52,21.2,8.6,51.8,49.3,1.6,47.4,-1.6
JT Thor,WAS,20,12.5,3.6,51.7,48.3,0.6,36.7,-4.8
Kyle Kuzma,MIL,65,29.8,14.8,51.5,49.6,1.05,36.9,-6.4
Noah Clowney,BKN,46,22.7,9.1,51.4,47.5,0.9,70.4,-5.7
Fred VanVleet,HOU,60,35.2,14.1,51.4,48.4,3.73,60.6,4.4
Bilal Coulibaly,WAS,59,33.0,12.3,51.4,47.6,1.62,35.8,-9.9
Bub Carrington,WAS,82,30.0,9.8,51.4,50.0,2.59,54.9,-9.7
Cody Martin,PHX,53,22.1,6.8,51.3,49.2,2.0,45.9,-2.0
Patrick Williams,CHI,63,25.0,9.0,51.3,49.4,1.43,52.4,-2.9
Jonathan Isaac,ORL,71,15.4,5.4,51.3,46.7,1.2,45.7,-0.5
Gary Harris,ORL,48,14.8,3.0,51.2,53.6,1.5,75.0,1.8
Lester Quiñones,NOP,13,14.1,6.6,51.2,48.3,1.64,56.7,-2.0
Caleb Martin,DAL,45,27.1,7.9,50.8,48.5,1.75,33.8,-3.4
Cam Reddish,LAL,33,17.9,3.2,50.8,50.0,1.75,50.0,-2.8
Bruce Brown,NOP,41,22.5,8.3,50.6,47.3,2.0,26.7,-5.5
Kyshawn George,WAS,68,26.5,8.7,50.5,48.1,1.79,65.0,-5.3
Ricky Council IV,PHI,73,17.1,7.3,50.5,44.4,1.86,46.0,-2.2
Jordan Hawkins,NOP,56,23.6,10.8,50.5,47.5,1.2,59.6,-5.7
Jaylen Martin,WAS,16,14.9,4.9,50.4,45.7,1.38,30.4,-8.2
Keaton Wallace,ATL,31,16.2,5.4,50.2,49.0,2.36,50.0,-0.6
Nick Smith Jr.,CHA,60,22.8,9.9,50.2,47.9,1.71,53.7,-6.6
Lindy Waters III,DET,52,15.0,4.9,50.1,50.0,2.5,75.0,0.3
Vince Williams Jr.,MEM,27,18.5,6.6,50.0,48.4,1.67,56.5,0.2
Jamal Shead,TOR,75,19.6,7.1,50.0,47.8,2.63,44.8,-3.1
Jalen Hood-Schifino,PHI,15,21.0,7.1,49.9,45.4,2.08,47.7,-6.4
Terry Rozier,MIA,64,25.9,10.6,49.8,46.5,2.17,48.5,-2.2
Isaiah Collier,UTA,71,25.9,8.7,49.6,46.2,2.17,30.8,-5.7
Reggie Jackson,PHI,31,12.4,4.4,49.6,48.8,3.0,55.8,-0.6
Isaiah Wong,CHA,20,13.3,6.0,49.6,46.2,1.56,32.1,-0.3
Keon Johnson,BKN,79,24.4,10.6,49.6,46.5,1.47,51.5,-5.4
Dejounte Murray,NOP,31,32.6,17.5,49.5,45.0,2.18,35.2,-6.7
Jonathan Mogbo,TOR,63,20.4,6.2,49.4,46.5,2.09,19.3,-3.8
Dalano Banton,POR,67,16.7,8.3,49.2,46.7,1.85,43.4,-0.8
Maxi Kleber,LAL,34,18.7,3.0,49.0,46.4,1.86,50.0,-0.5
Baylor Scheierman,BOS,31,12.4,3.6,49.0,48.6,2.75,74.3,0.9
Trevelin Queen,ORL,31,13.9,4.9,48.9,45.7,1.71,53.2,-2.8
AJ Johnson,WAS,29,22.0,7.6,48.3,43.8,2.17,42.5,-5.2
Kobe Bufkin,ATL,10,12.4,5.3,48.3,42.6,2.13,40.4,-2.3
Kris Murray,POR,69,15.1,4.2,48.3,47.5,1.67,42.5,-0.7
Alex Sarr,WAS,67,27.1,13.0,48.1,46.0,1.41,41.1,-8.1
GG Jackson,MEM,29,15.8,7.2,47.9,45.7,0.91,47.8,-2.3
Cole Swider,IND,10,17.0,5.9,46.5,46.8,0.75,74.6,5.4
Reed Sheppard,HOU,52,12.6,4.4,46.5,44.6,2.0,58.7,-1.0
Vasilije Micic,PHX,41,19.1,6.6,46.2,42.5,1.63,44.8,-3.0
Marcus Bagley,PHI,10,25.3,6.7,45.6,42.8,1.43,46.4,-8.4
Tidjane Salaün,CHA,60,20.7,5.9,45.4,41.4,1.2,58.6,-5.4
Dario Saric,DEN,16,13.1,3.5,45.3,41.7,1.56,44.4,-3.1
Delon Wright,NYK,40,15.9,3.1,43.5,40.9,3.17,54.5,0.0
KJ Simpson,CHA,36,23.4,7.8,43.3,39.9,1.94,42.9,-7.7
Elijah Harkless,UTA,10,13.8,3.2,42.5,41.4,2.67,71.4,3.1
Cody Williams,UTA,50,21.2,4.6,42.2,40.2,1.33,52.9,-6.8
Damion Baugh,CHA,15,24.7,7.3,39.9,36.8,1.76,42.5,-11.3
Reece Beekman,BKN,36,13.0,2.6,39.8,36.7,3.0,36.7,-3.3
Elfrid Payton,NOP,24,21.3,3.5,33.4,33.3,2.76,5.9,-6.2
