PLAYER_NAME,TEAM_ABBREVIATION,games_played,mpg,ppg,true_shooting_pct,effective_fg_pct,ast_to_tov_ratio,three_point_rate,avg_plus_minus
Chris Boucher,TOR,50,17.2,10.0,61.4,58.1,1.17,52.7,0.1
Tre Jones,CHI,46,19.7,7.2,61.4,57.7,5.25,19.2,-0.7
Alec Burks,MIA,49,17.6,7.3,61.4,58.2,1.83,76.4,2.2
Nikola Vučević,CHI,73,31.2,18.5,61.3,59.2,2.19,31.0,-1.3
Myles Turner,IND,72,30.2,15.6,61.2,57.5,0.88,48.7,2.8
Zach Collins,CHI,64,15.3,6.4,61.2,56.4,1.89,36.2,-0.5
Derrick Jones Jr.,LAC,77,24.3,10.1,61.1,59.2,0.89,36.8,3.2
Georges Niang,ATL,79,21.5,9.9,61.1,59.6,1.4,66.7,2.5
Thomas Bryant,IND,66,14.6,6.5,60.9,58.2,1.6,44.9,-0.6
Isaiah Stewart,DET,72,19.9,6.0,60.9,56.8,1.89,15.9,0.1
Tristan Vukcevic,WAS,35,14.6,9.4,60.8,57.2,0.92,42.0,-3.6
Josh Hart,NYK,77,37.6,13.6,60.8,57.5,2.81,33.0,2.6
Oso Ighodaro,PHX,61,17.1,4.2,60.8,61.3,2.0,0.0,-0.3
Jonas Valanciunas,SAC,81,18.8,10.4,60.6,56.5,1.33,6.5,-3.8
Derrick White,BOS,76,33.9,16.4,60.6,58.3,2.82,72.2,7.1
Tyler Herro,MIA,77,35.4,23.9,60.5,56.7,2.12,48.6,1.3
LeBron James,LAL,70,34.9,24.4,60.5,57.2,2.22,31.5,-0.8
Jaylen Clark,MIN,40,13.0,4.1,60.4,56.7,3.5,43.3,1.1
Jalen Brunson,NYK,65,35.4,26.0,60.4,54.9,2.92,33.0,2.2
Deni Avdija,POR,72,30.0,16.9,60.4,55.1,1.44,41.0,-1.1
Kelly Olynyk,NOP,44,20.2,8.7,60.4,55.7,1.71,29.5,-1.3
Amen Thompson,HOU,69,32.3,14.1,60.3,57.4,1.9,12.9,3.9
Dorian Finney-Smith,LAL,63,28.9,8.7,60.3,59.4,1.56,72.5,4.9
Coby White,CHI,74,33.1,20.4,60.3,55.3,1.88,52.3,-1.9
Max Strus,CLE,50,25.5,9.4,60.2,59.3,2.91,78.7,4.4
Ryan Rollins,MIL,56,14.6,6.2,60.2,59.4,2.11,43.8,1.5
Zion Williamson,NOP,30,28.6,24.6,60.2,57.1,1.77,2.4,-1.4
Isaiah Hartenstein,OKC,57,27.9,11.2,60.1,58.3,2.24,3.6,7.3
Jabari Walker,POR,60,12.5,5.2,60.1,59.2,1.0,31.6,0.3
Ochai Agbaji,TOR,64,27.2,10.4,60.1,60.2,1.88,48.2,-3.3
Kel'el Ware,MIA,64,22.2,9.3,60.1,58.2,1.0,23.3,0.6
Jared Rhoden,TOR,14,16.2,8.4,60.1,55.6,1.83,45.2,4.6
Dalton Knecht,LAL,78,19.2,9.1,60.0,57.7,1.6,62.0,-0.9
Garrison Mathews,ATL,47,17.6,7.5,60.0,56.4,1.86,83.6,-1.3
